"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2024-12-31 23:00:00","2025-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6519520,6519520,0.99503552913666,0,0
"2025-01-01 00:00:00","2025-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5917659,5917659,0.903171479702,0,0
"2025-01-01 01:00:00","2025-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4994553,4994553,0.76227927207947,0,0
"2025-01-01 02:00:00","2025-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4990896,4990896,0.76171624660492,0,0
"2025-01-01 03:00:00","2025-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4988425,4988425,0.76133447885513,0,0
"2025-01-01 04:00:00","2025-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4995848,4995848,0.76246249675751,0,0
"2025-01-01 05:00:00","2025-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5000998,5000998,0.76324373483658,0,0
"2025-01-01 06:00:00","2025-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5545243,5545243,0.84630000591278,0,0
"2025-01-01 07:00:00","2025-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5000109,5000109,0.76309823989868,0,0
"2025-01-01 08:00:00","2025-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5006276,5006276,0.76403498649597,0,0
"2025-01-01 09:00:00","2025-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5008423,5008423,0.76435774564743,0,0
"2025-01-01 10:00:00","2025-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5008986,5008986,0.76443898677826,0,0
"2025-01-01 11:00:00","2025-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4859352,4859352,0.74159824848175,0,0
"2025-01-01 12:00:00","2025-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4557821,4557821,0.69557601213455,0,0
"2025-01-01 13:00:00","2025-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4968952,4968952,0.7583150267601,0,0
"2025-01-01 14:00:00","2025-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5521656,5521656,0.84265822172165,0,0
"2025-01-01 15:00:00","2025-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6551295,6551295,0.99978572130203,0,0
"2025-01-01 16:00:00","2025-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,6371756,6371756,0.97237950563431,0,0
"2025-01-01 17:00:00","2025-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5262636,5262636,0.80311399698257,0,0
"2025-01-01 18:00:00","2025-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5026362,5026362,0.76705223321915,0,0
"2025-01-01 19:00:00","2025-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,4969390,4969390,0.7583532333374,0,0
"2025-01-01 20:00:00","2025-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,5463986,5463986,0.83382576704025,0,0
