"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2024-12-31 23:00:00","2025-01-01 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3453249,3453249,0.83050727844238,0,0
"2025-01-01 00:00:00","2025-01-01 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3110750,3110750,0.74813598394394,0,0
"2025-01-01 01:00:00","2025-01-01 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3376750,3376750,0.81210947036743,0,0
"2025-01-01 02:00:00","2025-01-01 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3414750,3414750,0.82124823331833,0,0
"2025-01-01 03:00:00","2025-01-01 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3155250,3155250,0.75883823633194,0,0
"2025-01-01 04:00:00","2025-01-01 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2714499,2714499,0.65283799171448,0,0
"2025-01-01 05:00:00","2025-01-01 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2826000,2826000,0.67965376377106,0,0
"2025-01-01 06:00:00","2025-01-01 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2691500,2691500,0.64730650186539,0,0
"2025-01-01 07:00:00","2025-01-01 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2566501,2566501,0.61724424362183,0,0
"2025-01-01 08:00:00","2025-01-01 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2249750,2249750,0.54106551408768,0,0
"2025-01-01 09:00:00","2025-01-01 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2035250,2035250,0.4894779920578,0,0
"2025-01-01 10:00:00","2025-01-01 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1573501,1573501,0.37842723727226,0,0
"2025-01-01 11:00:00","2025-01-01 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1518000,1518000,0.36507925391197,0,0
"2025-01-01 12:00:00","2025-01-01 13:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1817250,1817250,0.43704923987389,0,0
"2025-01-01 13:00:00","2025-01-01 14:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1998750,1998750,0.48069974780083,0,0
"2025-01-01 14:00:00","2025-01-01 15:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2567250,2567250,0.61742424964905,0,0
"2025-01-01 15:00:00","2025-01-01 16:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3314000,3314000,0.79701775312424,0,0
"2025-01-01 16:00:00","2025-01-01 17:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3651249,3651249,0.87812602519989,0,0
"2025-01-01 17:00:00","2025-01-01 18:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3621251,3621251,0.87091147899628,0,0
"2025-01-01 18:00:00","2025-01-01 19:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3423001,3423001,0.8232324719429,0,0
"2025-01-01 19:00:00","2025-01-01 20:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3645000,3645000,0.87662351131439,0,0
"2025-01-01 20:00:00","2025-01-01 21:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3433001,3433001,0.82563751935959,0,0
"2025-01-01 21:00:00","2025-01-01 22:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3283750,3283750,0.78974276781082,0,0
"2025-01-01 22:00:00","2025-01-01 23:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3208000,3208000,0.77152502536774,0,0
"2025-01-01 23:00:00","2025-01-02 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2405000,2405000,0.57840323448181,0,0
"2025-01-02 00:00:00","2025-01-02 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1860750,1860750,0.44751098752022,0,0
"2025-01-02 01:00:00","2025-01-02 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1584750,1584750,0.38113275170326,0,0
"2025-01-02 02:00:00","2025-01-02 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1469249,1469249,0.35335499048233,0,0
"2025-01-02 03:00:00","2025-01-02 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1377000,1377000,0.33116900920868,0,0
"2025-01-02 04:00:00","2025-01-02 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1430751,1430751,0.34409600496292,0,0
"2025-01-02 05:00:00","2025-01-02 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1360500,1360500,0.32720074057579,0,0
"2025-01-02 06:00:00","2025-01-02 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1153749,1153749,0.27747675776482,0,0
"2025-01-02 07:00:00","2025-01-02 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1305001,1305001,0.31385299563408,0,0
"2025-01-02 08:00:00","2025-01-02 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1113749,1113749,0.267856746912,0,0
"2025-01-02 09:00:00","2025-01-02 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,925000,925000,0.22246274352074,0,0
"2025-01-02 10:00:00","2025-01-02 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1451499,1451499,0.34908574819565,0,0
"2025-01-02 11:00:00","2025-01-02 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1697502,1697502,0.40824949741364,0,0
"2025-01-02 12:00:00","2025-01-02 13:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2377998,2377998,0.57190948724747,0,0
"2025-01-02 13:00:00","2025-01-02 14:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2788500,2788500,0.67063474655151,0,0
"2025-01-02 14:00:00","2025-01-02 15:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2867001,2867001,0.68951451778412,0,0
"2025-01-02 15:00:00","2025-01-02 16:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2964750,2964750,0.71302300691605,0,0
"2025-01-02 16:00:00","2025-01-02 17:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3126500,3126500,0.7519239783287,0,0
"2025-01-02 17:00:00","2025-01-02 18:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3434500,3434500,0.82599800825119,0,0
"2025-01-02 18:00:00","2025-01-02 19:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3284001,3284001,0.78980302810669,0,0
"2025-01-02 19:00:00","2025-01-02 20:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3289000,3289000,0.79100549221039,0,0
"2025-01-02 20:00:00","2025-01-02 21:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3244750,3244750,0.7803630232811,0,0
"2025-01-02 21:00:00","2025-01-02 22:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3004500,3004500,0.72258299589157,0,0
"2025-01-02 22:00:00","2025-01-02 23:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2411750,2411750,0.58002650737762,0,0
"2025-01-02 23:00:00","2025-01-03 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2539500,2539500,0.6107502579689,0,0
"2025-01-03 00:00:00","2025-01-03 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2805499,2805499,0.67472326755524,0,0
"2025-01-03 01:00:00","2025-01-03 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2857749,2857749,0.6872889995575,0,0
"2025-01-03 02:00:00","2025-01-03 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3126250,3126250,0.75186377763748,0,0
"2025-01-03 03:00:00","2025-01-03 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3400750,3400750,0.81788122653961,0,0
"2025-01-03 04:00:00","2025-01-03 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3597249,3597249,0.86513924598694,0,0
"2025-01-03 05:00:00","2025-01-03 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3657000,3657000,0.87950950860977,0,0
"2025-01-03 06:00:00","2025-01-03 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3608250,3608250,0.86778497695923,0,0
"2025-01-03 07:00:00","2025-01-03 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3650250,3650250,0.87788599729538,0,0
"2025-01-03 08:00:00","2025-01-03 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3537000,3537000,0.85064923763275,0,0
"2025-01-03 09:00:00","2025-01-03 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3459750,3459750,0.83207076787949,0,0
"2025-01-03 10:00:00","2025-01-03 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3474250,3474250,0.83555799722672,0,0
"2025-01-03 11:00:00","2025-01-03 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3640001,3640001,0.87542098760605,0,0
"2025-01-03 12:00:00","2025-01-03 13:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3508501,3508501,0.84379547834396,0,0
"2025-01-03 13:00:00","2025-01-03 14:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3450250,3450250,0.82978600263596,0,0
"2025-01-03 14:00:00","2025-01-03 15:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3198751,3198751,0.76930022239685,0,0
"2025-01-03 15:00:00","2025-01-03 16:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3172251,3172251,0.76292723417282,0,0
"2025-01-03 16:00:00","2025-01-03 17:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,3081250,3081250,0.7410414814949,0,0
"2025-01-03 17:00:00","2025-01-03 18:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2850250,2850250,0.68548572063446,0,0
"2025-01-03 18:00:00","2025-01-03 19:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2428750,2428750,0.58411473035812,0,0
"2025-01-03 19:00:00","2025-01-03 20:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,2179749,2179749,0.52423000335693,0,0
"2025-01-03 20:00:00","2025-01-03 21:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1614000,1614000,0.38816726207733,0,0
"2025-01-03 21:00:00","2025-01-03 22:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1395250,1395250,0.33555799722672,0,0
"2025-01-03 22:00:00","2025-01-03 23:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1189000,1189000,0.28595474362373,0,0
"2025-01-03 23:00:00","2025-01-04 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,887750,887750,0.21350400149822,0,0
"2025-01-04 00:00:00","2025-01-04 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,1015000,1015000,0.24410749971867,0,0
