"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2024-12-31 23:00:00","2025-01-01 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 00:00:00","2025-01-01 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 01:00:00","2025-01-01 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 02:00:00","2025-01-01 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 03:00:00","2025-01-01 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 04:00:00","2025-01-01 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 05:00:00","2025-01-01 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 06:00:00","2025-01-01 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 07:00:00","2025-01-01 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1217,1217,5.1494251238182E-5,0,0
"2025-01-01 08:00:00","2025-01-01 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,109130,109130,0.0046174894087017,0,0
"2025-01-01 09:00:00","2025-01-01 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,510609,510609,0.021604524925351,0,0
"2025-01-01 10:00:00","2025-01-01 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,756110,756110,0.031991526484489,0,0
"2025-01-01 11:00:00","2025-01-01 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,872914,872914,0.036932948976755,0,0
"2025-01-01 12:00:00","2025-01-01 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,889360,889360,0.037628225982189,0,0
"2025-01-01 13:00:00","2025-01-01 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,642642,642642,0.027189299464226,0,0
"2025-01-01 14:00:00","2025-01-01 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,290661,290661,0.012297302484512,0,0
"2025-01-01 15:00:00","2025-01-01 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,47725,47725,0.0020191243384033,0,0
"2025-01-01 16:00:00","2025-01-01 17:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 17:00:00","2025-01-01 18:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 18:00:00","2025-01-01 19:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 19:00:00","2025-01-01 20:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 20:00:00","2025-01-01 21:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 21:00:00","2025-01-01 22:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 22:00:00","2025-01-01 23:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-01 23:00:00","2025-01-02 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 00:00:00","2025-01-02 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 01:00:00","2025-01-02 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 02:00:00","2025-01-02 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 03:00:00","2025-01-02 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 04:00:00","2025-01-02 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 05:00:00","2025-01-02 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 06:00:00","2025-01-02 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 07:00:00","2025-01-02 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1476,1476,6.2429498939309E-5,0,0
"2025-01-02 08:00:00","2025-01-02 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,527664,527664,0.02231802046299,0,0
"2025-01-02 09:00:00","2025-01-02 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2925525,2925525,0.12373617291451,0,0
"2025-01-02 10:00:00","2025-01-02 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,5408625,5408625,0.22875624895096,0,0
"2025-01-02 11:00:00","2025-01-02 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,7194923,7194923,0.3043025135994,0,0
"2025-01-02 12:00:00","2025-01-02 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,6167020,6167020,0.26082450151443,0,0
"2025-01-02 13:00:00","2025-01-02 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,4203266,4203266,0.17776775360107,0,0
"2025-01-02 14:00:00","2025-01-02 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2107258,2107258,0.089120402932167,0,0
"2025-01-02 15:00:00","2025-01-02 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,421057,421057,0.017807155847549,0,0
"2025-01-02 16:00:00","2025-01-02 17:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 17:00:00","2025-01-02 18:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 18:00:00","2025-01-02 19:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 19:00:00","2025-01-02 20:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 20:00:00","2025-01-02 21:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 21:00:00","2025-01-02 22:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 22:00:00","2025-01-02 23:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-02 23:00:00","2025-01-03 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 00:00:00","2025-01-03 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 01:00:00","2025-01-03 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 02:00:00","2025-01-03 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 03:00:00","2025-01-03 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 04:00:00","2025-01-03 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 05:00:00","2025-01-03 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 06:00:00","2025-01-03 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 07:00:00","2025-01-03 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2610,2610,0.00011035225179512,0,0
"2025-01-03 08:00:00","2025-01-03 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,551752,551752,0.023328075185418,0,0
"2025-01-03 09:00:00","2025-01-03 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2772148,2772148,0.11720474809408,0,0
"2025-01-03 10:00:00","2025-01-03 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,4336232,4336232,0.18333074450493,0,0
"2025-01-03 11:00:00","2025-01-03 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,3981920,3981920,0.16834825277328,0,0
"2025-01-03 12:00:00","2025-01-03 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,3272974,3272974,0.13837325572968,0,0
"2025-01-03 13:00:00","2025-01-03 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2841286,2841286,0.12012050300837,0,0
"2025-01-03 14:00:00","2025-01-03 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1928790,1928790,0.081542000174522,0,0
"2025-01-03 15:00:00","2025-01-03 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,447963,447963,0.01893793977797,0,0
"2025-01-03 16:00:00","2025-01-03 17:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 17:00:00","2025-01-03 18:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 18:00:00","2025-01-03 19:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 19:00:00","2025-01-03 20:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 20:00:00","2025-01-03 21:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 21:00:00","2025-01-03 22:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 22:00:00","2025-01-03 23:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-03 23:00:00","2025-01-04 00:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 00:00:00","2025-01-04 01:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 01:00:00","2025-01-04 02:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 02:00:00","2025-01-04 03:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 03:00:00","2025-01-04 04:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 04:00:00","2025-01-04 05:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 05:00:00","2025-01-04 06:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 06:00:00","2025-01-04 07:00:00",Nederland,Solar,Hour,UTC,Providing,Current,0,0,0,0,0
"2025-01-04 07:00:00","2025-01-04 08:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1895,1895,8.0091500421986E-5,0,0
"2025-01-04 08:00:00","2025-01-04 09:00:00",Nederland,Solar,Hour,UTC,Providing,Current,279065,279065,0.011794427409768,0,0
"2025-01-04 09:00:00","2025-01-04 10:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1367146,1367146,0.057780399918556,0,0
"2025-01-04 10:00:00","2025-01-04 11:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2289229,2289229,0.096749477088451,0,0
"2025-01-04 11:00:00","2025-01-04 12:00:00",Nederland,Solar,Hour,UTC,Providing,Current,3064074,3064074,0.12949475646019,0,0
"2025-01-04 12:00:00","2025-01-04 13:00:00",Nederland,Solar,Hour,UTC,Providing,Current,3208755,3208755,0.13560700416565,0,0
"2025-01-04 13:00:00","2025-01-04 14:00:00",Nederland,Solar,Hour,UTC,Providing,Current,2963184,2963184,0.12522675096989,0,0
"2025-01-04 14:00:00","2025-01-04 15:00:00",Nederland,Solar,Hour,UTC,Providing,Current,1949751,1949751,0.082396999001503,0,0
"2025-01-04 15:00:00","2025-01-04 16:00:00",Nederland,Solar,Hour,UTC,Providing,Current,348262,348262,0.01471745967865,0,0
